Order_ID,Order_Date,Customer_ID,Region,City,Category,Product,Sales_Channel,Customer_Type,Quantity,Unit_Price,Discount_Pct,Sales_Amount,Profit,Payment_Method
ORD108294,2025-02-23,CUST32595,North,Delhi,Electronics,Monitor,Online,Returning,2,18775.41,15.0,31918.2,10753.36,UPI
ORD103131,2025-11-27,CUST88475,East,Patna,Home Appliances,Vacuum Cleaner,Online,New,3,8988.95,15.0,22921.82,8448.04,Net Banking
ORD102777,2024-11-06,CUST57988,Central,Raipur,Home Appliances,Vacuum Cleaner,Online,New,3,8891.39,0.0,26674.16,7771.27,Credit Card
ORD109305,2024-06-04,CUST82745,North,Delhi,Office Supplies,Stapler,Corporate,Returning,6,240.73,15.0,1227.73,329.39,UPI
ORD100107,2025-11-06,CUST61688,West,Mumbai,Furniture,Bookshelf,Retail Store,Corporate,3,8737.41,5.0,24901.62,9317.89,UPI
ORD103790,2024-05-16,CUST61562,North,Delhi,Home Appliances,Mixer,Retail Store,VIP,5,4870.75,0.0,24353.74,9873.5,UPI
ORD103529,2025-07-16,CUST31578,North,Lucknow,Furniture,Cabinet,Online,New,2,10565.36,0.0,21130.72,8391.72,Credit Card
ORD104404,2025-01-25,CUST55050,South,Bengaluru,Accessories,Mouse,Online,Corporate,5,1152.65,5.0,5475.08,1764.88,Net Banking
ORD103002,2024-07-21,CUST15608,Central,Nagpur,Furniture,Sofa,Online,Returning,4,24744.79,5.0,94030.21,31688.13,Credit Card
ORD107104,2025-09-10,CUST22444,South,Hyderabad,Office Supplies,Stapler,Retail Store,VIP,3,254.81,10.0,687.99,255.71,UPI
ORD100318,2025-09-19,CUST45628,Central,Indore,Furniture,Chair,Corporate,Corporate,1,5987.14,10.0,5388.43,2284.21,Credit Card
ORD109014,2025-05-10,CUST45803,Central,Indore,Accessories,Mouse,Online,,1,1268.89,10.0,1142.0,528.03,Debit Card
ORD106890,2024-07-17,CUST19735,North,Lucknow,Office Supplies,Notebook,Online,Returning,1,186.23,5.0,176.91,45.49,Debit Card
ORD107512,2025-12-07,CUST59088,East,Guwahati,Furniture,Desk,Corporate,New,1,13343.7,0.0,13343.7,3458.93,UPI
ORD100416,2025-11-09,CUST75176,Central,Nagpur,Electronics,Monitor,Online,Returning,4,19747.34,25.0,59242.02,13334.87,Credit Card
ORD104140,2024-12-03,CUST35485,West,Ahmedabad,Office Supplies,Pen Set,Marketplace,Corporate,2,276.12,10.0,497.02,176.1,Credit Card
ORD104382,2024-09-25,CUST69320,South,Chennai,Office Supplies,Printer Paper,Retail Store,Returning,1,446.86,15.0,379.83,160.92,Debit Card
ORD104366,2025-07-19,CUST76149,North,Delhi,Accessories,Webcam,Online,Returning,2,3904.44,15.0,6637.55,1593.93,Debit Card
ORD101360,2025-08-22,CUST56481,North,Lucknow,Furniture,Desk,Marketplace,Returning,1,11982.01,20.0,9585.6,3092.49,Net Banking
ORD100718,2025-07-11,CUST58812,South,Hyderabad,Electronics,Headphones,Online,New,2,3985.87,10.0,7174.56,1642.68,UPI
ORD106740,2025-11-21,CUST61602,North,Delhi,office supplies ,Notebook,Retail Store,New,2,162.83,10.0,293.09,89.02,UPI
